"°üÃøÁöÁ¡º°","Ç×¸ñ","´ÜÀ§","2000.01 ¿ù","2000.02 ¿ù","2000.03 ¿ù","2000.04 ¿ù","2000.05 ¿ù","2000.06 ¿ù","2000.07 ¿ù","2000.08 ¿ù","2000.09 ¿ù","2000.10 ¿ù","2000.11 ¿ù","2000.12 ¿ù","2001.01 ¿ù","2001.02 ¿ù","2001.03 ¿ù","2001.04 ¿ù","2001.05 ¿ù","2001.06 ¿ù","2001.07 ¿ù","2001.08 ¿ù","2001.09 ¿ù","2001.10 ¿ù","2001.11 ¿ù","2001.12 ¿ù","2002.01 ¿ù","2002.02 ¿ù","2002.03 ¿ù","2002.04 ¿ù","2002.05 ¿ù","2002.06 ¿ù","2002.07 ¿ù","2002.08 ¿ù","2002.09 ¿ù","2002.10 ¿ù","2002.11 ¿ù","2002.12 ¿ù","2003.01 ¿ù","2003.02 ¿ù","2003.03 ¿ù","2003.04 ¿ù","2003.05 ¿ù","2003.06 ¿ù","2003.07 ¿ù","2003.08 ¿ù","2003.09 ¿ù","2003.10 ¿ù","2003.11 ¿ù","2003.12 ¿ù","2004.01 ¿ù","2004.02 ¿ù","2004.03 ¿ù","2004.04 ¿ù","2004.05 ¿ù","2004.06 ¿ù","2004.07 ¿ù","2004.08 ¿ù","2004.09 ¿ù","2004.10 ¿ù","2004.11 ¿ù","2004.12 ¿ù","2005.01 ¿ù","2005.02 ¿ù","2005.03 ¿ù","2005.04 ¿ù","2005.05 ¿ù","2005.06 ¿ù","2005.07 ¿ù","2005.08 ¿ù","2005.09 ¿ù","2005.10 ¿ù","2005.11 ¿ù","2005.12 ¿ù","2006.01 ¿ù","2006.02 ¿ù","2006.03 ¿ù","2006.04 ¿ù","2006.05 ¿ù","2006.06 ¿ù","2006.07 ¿ù","2006.08 ¿ù","2006.09 ¿ù","2006.10 ¿ù","2006.11 ¿ù","2006.12 ¿ù","2007.01 ¿ù","2007.02 ¿ù","2007.03 ¿ù","2007.04 ¿ù","2007.05 ¿ù","2007.06 ¿ù","2007.07 ¿ù","2007.08 ¿ù","2007.09 ¿ù","2007.10 ¿ù","2007.11 ¿ù","2007.12 ¿ù","2008.01 ¿ù","2008.02 ¿ù","2008.03 ¿ù","2008.04 ¿ù","2008.05 ¿ù","2008.06 ¿ù","2008.07 ¿ù","2008.08 ¿ù","2008.09 ¿ù","2008.10 ¿ù","2008.11 ¿ù","2008.12 ¿ù","2009.01 ¿ù","2009.02 ¿ù","2009.03 ¿ù","2009.04 ¿ù","2009.05 ¿ù","2009.06 ¿ù","2009.07 ¿ù","2009.08 ¿ù","2009.09 ¿ù","2009.10 ¿ù","2009.11 ¿ù","2009.12 ¿ù","2010.01 ¿ù","2010.02 ¿ù","2010.03 ¿ù","2010.04 ¿ù","2010.05 ¿ù","2010.06 ¿ù","2010.07 ¿ù","2010.08 ¿ù","2010.09 ¿ù","2010.10 ¿ù","2010.11 ¿ù","2010.12 ¿ù","2011.01 ¿ù","2011.02 ¿ù","2011.03 ¿ù","2011.04 ¿ù","2011.05 ¿ù","2011.06 ¿ù","2011.07 ¿ù","2011.08 ¿ù","2011.09 ¿ù","2011.10 ¿ù","2011.11 ¿ù","2011.12 ¿ù","2012.01 ¿ù","2012.02 ¿ù","2012.03 ¿ù","2012.04 ¿ù","2012.05 ¿ù","2012.06 ¿ù","2012.07 ¿ù","2012.08 ¿ù","2012.09 ¿ù","2012.10 ¿ù","2012.11 ¿ù","2012.12 ¿ù","2013.01 ¿ù","2013.02 ¿ù","2013.03 ¿ù","2013.04 ¿ù","2013.05 ¿ù","2013.06 ¿ù","2013.07 ¿ù","2013.08 ¿ù","2013.09 ¿ù","2013.10 ¿ù","2013.11 ¿ù","2013.12 ¿ù","2014.01 ¿ù","2014.02 ¿ù","2014.03 ¿ù","2014.04 ¿ù","2014.05 ¿ù","2014.06 ¿ù","2014.07 ¿ù","2014.08 ¿ù","2014.09 ¿ù","2014.10 ¿ù","2014.11 ¿ù","2014.12 ¿ù","2015.01 ¿ù","2015.02 ¿ù","2015.03 ¿ù","2015.04 ¿ù","2015.05 ¿ù","2015.06 ¿ù","2015.07 ¿ù","2015.08 ¿ù","2015.09 ¿ù","2015.10 ¿ù","2015.11 ¿ù","2015.12 ¿ù","2016.01 ¿ù","2016.02 ¿ù","2016.03 ¿ù","2016.04 ¿ù","2016.05 ¿ù","2016.06 ¿ù","2016.07 ¿ù","2016.08 ¿ù","2016.09 ¿ù","2016.10 ¿ù","2016.11 ¿ù","2016.12 ¿ù","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù","2021.11 ¿ù","2021.12 ¿ù","2022.01 ¿ù","2022.02 ¿ù","2022.03 ¿ù","2022.04 ¿ù","2022.05 ¿ù","2022.06 ¿ù","2022.07 ¿ù","2022.08 ¿ù","2022.09 ¿ù","2022.10 ¿ù","2022.11 ¿ù","2022.12 ¿ù",
"Ã»ÁÖ","Æò±ÕÇ³¼Ó[m/s]","m/s","1.5","1.6","1.6","1.5","1.7","1.6","1.8","1.6","1.7","1.1","1.2","1.5","1.5","1.5","1.9","1.3","1.2","1","1","0.8","0.9","0.7","1.8","1.9","2.7","2.1","2.9","3.1","2.7","2.6","2.8","2.7","2.1","2.2","2.4","2.1","2.1","2.2","2","2","1.9","1.7","1.7","1.5","1.5","1.5","1.4","1.6","1.5","2","1.8","2","1.9","1.7","1.7","1.8","1.8","1.6","1.3","1.5","1.9","2.2","2.3","2.1","1.9","1.7","1.6","1.6","1.7","1.2","1.2","1.4","1.3","1.6","2","2.1","1.8","1.7","1.6","1.4","1.4","1.1","1.5","1.1","1.2","1.3","1.8","1.8","1.9","1.8","1.7","1.6","1.7","1.3","1.3","1.3","1.3","1.3","1.5","1.8","1.7","1.8","1.4","1.6","1.3","1.1","1.1","1.3","1.3","1.3","1.8","1.6","1.6","1.6","1.6","1.7","1.3","1.3","1.4","1.3","1.2","1.4","1.9","1.8","1.7","1.6","1.6","1.5","1.4","1.2","1.2","1.3","1.2","1.1","1.7","1.7","1.7","1.7","1.5","1.6","1.5","1.2","1.3","1.2","1.2","1.3","1.8","1.9","1.5","1.8","1.5","2","1.4","1.1","1.3","1.1","0.9","1.3","1.5","1.7","1.5","1.4","1.6","1.4","1.2","1.3","1.2","1.1","1","1.4","1.5","1.5","1.7","1.6","1.5","1.5","1.3","1.3","1.1","1.3","1.1","1.3","1.4","1.6","1.4","1.6","1.8","1.6","1.6","1.3","1.4","1.2","1.3","1.5","1.4","1.8","1.8","1.7","1.7","1.7","1.5","1.5","1.3","1.3","1.4","1.5","1.6","1.8","1.7","1.8","1.6","1.7","1.6","1.5","1.4","1.5","1.5","1.6","1.8","1.9","1.9","1.9","1.7","2","1.8","1.5","1.1","1.4","1.3","1.2","1.5","1.5","1.6","1.3","1.5","1.4","1.3","1.1","0.9","1","1.1","1.3","1.6","1.9","1.7","1.6","1.5","1.4","1.7","1.3","1.2","1.2","1.3","1.6","1.4","1.8","1.5","1.5","1.6","1.5","1.7","1.1","1.1","1.3","1.2","1.6","1.4","1.6","1.7","1.8","1.4","1.4","1.6","1.1","0.9","1",
"´ëÀü","Æò±ÕÇ³¼Ó[m/s]","m/s","2.4","2.7","3.2","3.6","3.1","2.9","3.1","3.3","3.4","1.4","1.5","1.6","1.9","1.7","2.5","2.7","2.6","2.2","2","2.1","2.4","1.7","1.6","1.7","2.4","1.8","2.5","2.8","2.4","2.1","2.3","2.1","1.8","1.8","1.9","2","2.6","2","2.2","2.6","2.7","2.2","2.5","2.2","1.8","1.7","1.6","1.3","1.1","1.6","1.4","2.2","1.9","1.9","1.9","1.8","2.2","1.7","1.5","1.6","2.1","2.6","2.6","2.6","2.1","1.9","1.8","1.5","2","1.4","1.5","1.5","1.4","1.8","2.2","2.3","2.2","1.8","1.9","1.5","1.8","1.3","1.9","1.4","1.4","1.8","2.1","2.1","2.2","1.8","1.9","1.8","1.9","1.4","1.4","1.4","1.5","1.9","2","2.3","2.2","2.2","1.6","2.2","1.4","1.3","1.5","1.7","1.6","1.6","2.3","2","1.8","1.9","1.8","2.1","1.6","1.6","1.8","1.6","1.5","1.7","2.3","2.3","2","1.8","1.8","1.6","1.5","1.4","1.6","1.5","1.6","1.4","2.3","2.2","2.1","2","1.7","1.9","1.5","1.3","1.7","1.5","1.5","1.7","2.1","2.4","1.9","2.1","1.7","2.3","1.4","1.3","1.7","1.4","1.4","1.5","1.8","2.1","1.8","1.5","1.9","1.5","1.2","1.4","1.4","1.4","1.2","1.6","1.7","1.7","2","1.7","1.6","1.6","1.3","1.4","1.2","1.4","1.3","1.7","1.7","1.9","1.6","1.5","1.8","1.5","1.6","1.4","1.3","1.2","1.3","1.7","1.5","1.7","1.7","1.6","1.6","1.4","1.3","1.4","1.2","1.3","1.5","1.6","1.6","1.9","1.8","1.7","1.7","1.5","1.4","1.2","1.4","1.4","1.3","1.6","1.8","2","1.8","1.7","1.5","1.9","1.6","1.2","0.9","1.2","1.2","1.3","1.6","1.6","1.8","1.3","1.6","1.3","1.3","1.1","1","1.1","1.2","1.3","1.6","2","1.6","1.4","1.4","1.5","1.4","1.3","1.3","1.3","1.4","1.8","1.5","1.9","1.6","1.5","1.6","1.3","1.8","1.2","1.2","1.5","1.8","2.2","1.9","1.9","2.1","2.4","1.9","1.9","2.2","1.7","1.5","1.6",
"ÃßÇ³·É","Æò±ÕÇ³¼Ó[m/s]","m/s","4","4.9","4.5","4","3.3","2.4","2.3","2.2","2.5","2.4","2.7","3.5","4","3.5","4.3","3.1","1.8","0.8","1.5","1.8","2.3","2.7","3.6","4.4","5.1","4.2","4.5","3.9","3.2","2.5","1.6","1.6","1.4","2.2","3.1","2.8","3.7","2.4","2.3","2.6","1.7","1.7","1.5","1.5","1.6","2.1","2","4.1","3.4","3.5","3","2.9","2.2","1.7","1.6","1.5","1.6","1.8","2.4","2.9","4.2","3.8","3.9","3.2","2.4","1.7","1.8","1.6","1.6","1.6","2.2","3.7","2.7","3.2","3.1","3.1","2","1.6","1.4","1.1","1.3","1.2","2.2","2.3","2.7","2.6","2.9","2.5","2.3","1.5","1.5","1.2","1.5","1.4","2.2","2.6","2.9","3.8","2.9","2.9","2.5","2.1","1.6","2","1.5","2","2.4","2.7","2.9","3","3.6","3.5","2.9","2.1","2.1","2.2","1.9","2.2","2.9","3.7","3.8","2.7","3.5","3.3","2.6","1.9","1.9","1.7","1.8","2.1","3","3.5","4.7","2.9","3.9","3.3","2.9","2.1","1.8","1.9","1.9","2","2.5","3.6","3.3","3.3","3.7","3.7","2.5","2.2","2","2.4","2.1","2.2","3.3","3.3","3.5","3.4","3","3.5","2.7","2","1.9","1.8","1.7","2.3","3.2","3.4","3","2.5","2.9","3","3","2.4","2.2","2.4","1.8","2","2.5","3.7","3.3","3.5","3.1","2.9","2.8","2.2","2.1","1.7","1.9","2.4","2.3","2.7","3.5","3.5","2.7","2.8","2.7","2.1","2","2.1","1.7","2.4","2.6","3.1","3.5","3.7","3","3.2","3","2.7","1.7","2.2","2","2.1","2.8","3.3","3.7","3.5","2.9","3.2","2.7","2.6","2.2","2.3","2.3","2.5","2","3.1","3.8","3.1","3.1","2.7","2.9","1.9","2.1","2","2","2.2","2.4","2.6","3","3","3.1","3.8","2.8","2.2","2","1.6","2.1","2.3","2.8","3.1","3.1","3.8","2.8","3.1","2.6","1.8","1.7","1.6","2.2","1.9","2.7","3.5","3.3","4","2.7","2.6","2.7","2.2","2.2","1.7","2.2","2.2","2.2","3.4",
"¾Èµ¿","Æò±ÕÇ³¼Ó[m/s]","m/s","1.8","2.3","2.4","1.9","1.4","1.2","1.1","1","0.9","0.8","0.9","1.2","1.5","1.2","1.5","1.3","1","0.9","0.8","0.7","0.7","0.7","0.8","1","1.6","1.4","1.5","1.2","1.1","1.7","1.5","1.4","1.3","1.3","1.9","1.6","2.1","1.4","1.6","1.8","1.5","1.4","1.4","1.2","1.3","1.4","1.3","2","2","2.3","1.9","2","1.6","1.5","1.4","1.4","1.4","1.3","1.5","1.4","2.2","2.4","2.4","2.3","1.8","1.4","1.3","1.3","1.4","1.2","1.4","2.3","1.6","2","2.4","2.4","1.8","1.6","1.3","1.3","1.4","1.1","1.4","1.5","1.7","1.9","2.3","2.1","2.1","1.7","1.4","1.3","1.4","1.3","1.5","1.8","1.4","1.9","1.7","1.9","1.8","1.8","1.4","1.6","1.3","1.2","1.3","1.6","1.6","1.6","2.1","1.9","1.5","1.5","1.4","1.5","1.2","1.3","1.6","1.8","1.8","1.6","2.1","2.1","1.7","1.4","1.4","1.3","1.3","1.2","1.6","2.1","2.4","1.4","2.4","2.2","1.9","1.7","1.4","1.4","1.3","1.2","1.5","1.8","1.7","2","2.2","2.3","1.7","1.9","1.5","1.8","1.3","1.2","1.8","1.8","1.6","2","1.9","2.2","1.8","1.5","1.4","1.4","1.1","1.2","1.8","1.8","1.4","1.4","1.7","1.7","2","1.8","1.8","1.5","1.3","1.1","1.3","2.2","1.7","2.1","2.1","1.8","1.8","1.6","1.8","1.3","1.5","1.5","1.3","1.5","2","2.1","1.6","2","2","1.8","1.5","1.8","1.2","1.2","1.3","1.5","1.8","2.1","1.8","1.9","1.9","1.9","1.3","1.5","1.3","1.3","1.6","2","2","2","1.9","2.1","1.7","1.6","1.6","1.8","1.3","1.3","0.9","1.5","1.7","1.6","1.9","1.8","1.7","1.5","1.6","1.5","1.2","1.2","1.2","1.4","1.4","1.7","2","2.3","1.8","1.7","1.4","1.3","1.3","1.2","1.5","1.7","1.9","2.2","1.8","2","1.6","1.4","1.5","1.1","1.3","1","1.6","2","1.6","2.4","1.7","1.8","1.9","1.8","1.6","1.2","1.3","1.3","1.2","1.8",
"»óÁÖ","Æò±ÕÇ³¼Ó[m/s]","m/s","","","","","","","","","","","","","","","","","","","","","","","","","3","2.6","2.8","2.3","1.9","1.6","1.6","1.4","1.1","1.8","2.5","2.2","3","2.1","2.1","2.2","1.5","1.5","0.9","1","1.2","1.7","1.2","2.8","2.3","2.4","2.1","2.3","1.7","1.1","1.1","1","1.1","1.1","1.6","2","3.1","2.9","3.2","2.5","1.8","1.4","1.3","1","0.9","1.2","1.8","3","2.2","2.6","2.8","2.5","1.6","1.3","0.9","0.9","0.8","0.9","1.6","1.9","2.2","2.1","2.5","2.3","1.9","1.2","1","1","0.9","1.1","1.8","2.2","2","2.8","2.2","2","1.8","1.4","1.1","1.2","0.9","1.2","1.6","2.2","2.3","2","2.5","2.2","1.7","1.2","1.2","1.2","1.1","1.3","1.9","2.4","2.5","1.9","2.3","2.3","1.7","1.2","1.2","1.1","1","1.2","1.8","2.3","3.1","1.8","2.9","2.3","1.7","1.4","1.1","1","1","1.2","1.5","2.4","2.1","2.3","2.5","2.4","1.4","1.2","1.2","1.1","1","1.2","2","2.3","2.3","2.3","2.3","2.4","1.6","1.1","1.2","1.1","0.8","1.1","1.9","2.2","1.9","1.5","2","1.6","1.7","1.2","1.2","1.1","0.9","0.9","1.4","2.6","2.2","2.3","2.3","1.6","1.7","1.1","1.1","1","0.9","1.3","1.2","1.6","2.4","2.4","1.9","1.7","1.6","1.2","1","1.1","0.7","1","1.4","1.9","2.3","2.5","2","2","1.8","1.5","1","1","1","1","1.7","2.4","2.4","2.3","2","1.9","1.4","1.3","1","1.1","1","1.3","1","2","2.4","1.9","2","1.6","1.5","1","1","1","0.8","1","1.2","1.7","1.6","1.8","2","2.2","1.3","1.1","0.8","0.8","0.9","1.1","1.5","1.9","1.9","2.3","1.6","1.6","1.3","0.9","0.8","0.8","0.8","0.8","1.5","2.1","2","2.4","1.7","1.4","1.5","1.1","0.9","0.9","0.9","1","1.1","2",
"Æ÷Ç×","Æò±ÕÇ³¼Ó[m/s]","m/s","3.3","3.2","3.2","2.9","2.2","2.2","2.6","2.2","2.9","2.1","2.3","2.5","2.7","2","2","1.7","2.8","2.4","2.7","2.4","2.5","2","2.7","3","3.3","3","3.1","3","2.7","2.7","2.8","2.8","2.6","2.9","2.9","3.1","3.2","2.7","2.8","3","2.7","2.4","1.9","2.3","2.4","2.6","2.8","3.2","3.1","3.2","3.1","3.1","2.6","2.4","2.4","2.4","2.4","2.6","2.4","2.5","3","3.3","2.8","3.1","2.6","2.6","2.4","2.6","2.7","2.5","2.5","3.3","2.7","3","2.9","3.2","2.6","2.4","2","2.4","2.7","2.4","2.9","2.6","2.7","2.2","2.3","2.5","2.4","2","1.8","2.3","2.1","1.9","2","2.3","2.3","2.4","2.1","2.4","2.4","2.2","2","2","1.6","1.9","2.1","2.3","2.5","2.1","2.3","2.4","2.2","2.2","1.9","2","1.7","2","2.5","2.4","2.5","2.2","2.4","2.5","2.2","1.6","2.2","1.9","1.8","1.8","2.2","2.5","2.8","1.9","2.4","2.4","2.2","2.2","2.1","1.8","2","1.9","1.9","2.5","2.3","2.2","2.4","2.6","1.9","1.8","1.8","2","2","2","2.4","2.7","2.6","2.3","2.5","2.6","2.4","1.6","2.6","2.5","2.4","2.8","2.8","2.8","2.6","3","2.7","2.9","2.9","2.6","2.5","2.4","2.2","3.1","2.3","3","2.6","2.7","2.9","3","2.8","2.5","2.7","2.5","2.8","2.5","2.6","2.5","2.9","2.7","2.5","2.9","2.8","2.4","2.3","2.7","2.4","2.5","2.4","2.6","2.9","2.9","2.8","2.8","2.6","2.6","2.4","2.4","2.6","2.7","2.5","2.9","2.8","2.7","3.3","3.2","3.1","2.7","2.7","2.7","2.6","2.6","2.1","2.6","2.8","2.5","2.8","2.7","2.7","2.3","2.7","2.2","2.4","2.9","2.4","2.4","2.8","2.7","2.7","3.3","2.7","2.5","2.4","2.6","3.1","2.7","2.5","2.8","2.9","3","2.8","3","2.6","2.5","2.5","2.4","3.1","2.4","2.6","2.8","2.6","2.9","2.9","3","2.8","3","2.3","2.3","2.8","2.4","2.3","3",
"±º»ê","Æò±ÕÇ³¼Ó[m/s]","m/s","5.5","4.2","4.9","4.7","4.1","3.4","3.3","3.4","4.2","2.9","3.3","3.5","3.7","3.6","4.5","3.5","3.9","3.4","3","3.3","3.8","3.5","3.2","3.1","4.7","3.7","4.4","4.3","3.9","3.8","3.6","3.4","3.5","4.1","4.1","3.7","4","3.4","4.1","4.1","3.8","3.4","3.1","3.1","3.1","3.6","3.5","2.5","2","3.2","2.8","2.6","2.9","2.1","2.9","2.1","2.3","2","2.2","2","2.5","2.8","3.4","3.3","2.8","2.6","2.4","2.7","2.4","1.9","2.2","1.8","1.7","2.9","3.4","3.7","2.5","2.4","2.6","2","2","1.7","2.8","1.9","2.2","2.1","2.9","2.8","2.9","2.1","2.3","2.7","2.1","1.7","1.9","1.9","1.7","2.5","2.6","2.5","2.5","2","2.3","2.3","1.4","1.8","1.9","2.4","2.1","2.1","3.1","2.7","2.5","2.5","2.5","2","1.5","2.1","2.2","2.1","1.9","2.2","3.1","3","2.6","2","2.4","2.2","2.1","1.9","2.5","2.7","1.9","1.6","3.4","2.9","2.6","2.8","2.5","2.2","1.8","1.8","2","1.9","1.9","2.4","3.1","3","2","2.2","2.3","2.6","1.9","1.9","2.7","2.3","1.9","2.4","2.7","3.2","2.2","1.9","3.3","2.3","1.6","1.9","2.5","2.3","1.6","1.7","2.6","2.2","2.7","2.3","2.3","2","1.7","1.9","1.8","2.4","2.2","2.6","2.6","2.3","2.5","2.1","2.3","2","1.7","1.9","1.5","1.8","1.8","2.7","2.1","2.3","2.4","2","2.1","2.1","1.6","1.7","1.9","2.2","2.2","2.6","2.3","2.6","2.3","2.3","2.4","2","1.7","1.6","2.2","2.2","2","2.5","2.1","2.6","2.5","2.1","1.9","2.2","1.5","1.9","1.1","1.7","1.5","1.7","2.7","1.9","2.2","1.9","2.1","1.9","1.7","1.7","","1.8","1.8","2","2.7","3.1","2.3","2.1","1.6","2.4","2","1.7","1.8","1.7","2","2.5","1.8","2.3","2.6","2.1","1.8","1.7","1.8","1.5","2.1","2.3","1.7","2.5","2.4","2.2","2.6","2.7","2.4","2.5","2","2.2","1.9","2",
"´ë±¸","Æò±ÕÇ³¼Ó[m/s]","m/s","2.3","3.1","2.9","2.8","2.3","2.3","2.2","1.8","1.5","1.5","1.9","2.1","2.5","2.2","2.2","2","1.9","1.9","1.8","1.8","1.7","1.4","1.5","1.3","2.4","2.4","2.8","2.9","2.7","2.7","2.7","2.6","2.3","2.1","2.7","2.4","2.8","2.2","2.4","2.7","2.5","2.3","2.4","2.1","2.2","2.2","1.9","2.8","2.7","2.8","2.7","2.6","2.2","2.3","2.2","2.3","2.3","2","2","2.1","3","3.1","2.9","2.6","2.7","2.3","2.2","2.2","2.4","1.9","1.9","3.1","2.3","2.7","2.9","2.9","2.6","2.5","2.1","2.3","2.2","1.7","2","2.1","2.3","2.4","2.9","2.6","2.5","2.3","2.2","1.9","2","1.8","1.9","2.3","2","2.6","2.3","2.3","2.3","2.6","1.9","2.5","2","1.7","1.8","1.9","2.1","2","2.6","2.5","2.2","2.2","2","2.5","2.1","1.8","2.1","2.4","2.3","2.1","2.5","2.5","2.3","2.1","2","1.9","1.8","1.7","1.8","2.2","2.8","1.9","2.6","2.5","2.4","2.2","2","2.1","2","1.6","1.9","2.2","2.1","2.3","2.5","2.5","2.1","2.5","2.1","2.5","1.8","1.6","2.2","2.1","2","2.2","2","2.5","2.2","2.3","1.9","1.7","1.6","1.6","2.1","2","1.9","2","2","2","2.1","2.2","1.9","1.9","1.8","1.5","1.5","2.4","2","2.3","2.2","2.3","2","2.3","2.4","1.7","1.8","1.9","1.9","1.9","2.1","2.4","2.2","2.5","2.3","2.2","2","2.3","1.6","1.7","1.9","2.1","2.5","2.8","2.3","2.3","2.3","2.4","1.9","2.2","1.8","1.8","2","2.6","2.5","2.5","2.3","2.6","2.4","2.2","2.2","2.4","1.9","1.8","1.3","2.1","2.3","2.1","2.4","2.2","2.1","2.1","1.9","1.9","1.7","1.7","1.7","2.1","2.1","2.4","2.5","2.9","2.5","2.2","2.2","1.9","2","2","2.2","2.5","2.5","2.7","2.4","2.9","2.5","2.3","2.1","1.6","2","1.5","2","2.5","2.3","3.1","2.4","2.2","2.5","2.4","2.3","1.7","2.3","2.1","1.7","2.4",
"ÀüÁÖ","Æò±ÕÇ³¼Ó[m/s]","m/s","1.3","1.4","1.8","2","2","1.7","1.9","1.8","1.5","1.3","1.4","1.6","1.8","1.6","2.2","1.9","1.6","1.3","1.8","1.9","1.7","1.5","1.5","1.5","2.2","1.7","2.2","2.6","1.8","2","2.1","1.9","1.6","1.8","2.1","1.7","1.7","1.7","2","2.2","1.9","2","2","1.7","1.6","1.8","1.5","1.8","1.6","2.3","2.4","2.2","2.2","1.8","2.1","1.8","1.8","1.9","1.8","1.7","2","2.2","2.5","2.7","2.4","2.1","2.1","2.2","2.1","1.7","1.8","1.7","1.7","2.2","2.4","2.6","2.1","2.2","2.1","1.9","1.6","1.5","2","1.6","1.5","1.8","2.4","2.3","2.4","2","2","2.3","1.7","1.6","1.6","1.6","1.6","1.9","1.9","2.1","2","1.8","2","2","1.6","1.6","1.6","2","1.8","1.9","2.4","2.1","2.1","2.2","2","1.6","1.5","1.7","1.9","1.8","1.9","1.8","2.4","2.4","2.2","1.8","2.1","1.9","1.9","1.6","1.9","2.1","1.8","1.5","2.3","2.4","2.1","2.2","2.1","1.7","1.7","1.5","1.7","1.6","1.7","1.8","2.1","2.5","1.7","2","1.9","2.1","1.6","1.5","1.9","1.7","1.5","2","2.1","2.4","1.9","1.6","2.3","1.6","1.4","1.5","1.6","1.7","1.5","1.4","1.6","1.4","1.7","1.5","1.4","1.3","1.2","1.2","1.1","1.4","1.3","1.6","1.6","1.6","1.7","1.5","1.7","1.6","1.6","1.7","1.4","1.6","1.7","2.4","1.9","1.9","2.1","1.6","1.7","1.7","1.4","1.4","1.7","1.8","1.8","2.1","2","2","1.8","1.7","1.3","1.3","1.4","1.4","1.7","1.8","1.7","1.9","1.9","2","1.8","1.5","1.5","1.8","1.5","1.7","1.4","1.6","1.6","1.7","2.1","1.6","1.9","1.5","1.5","1.5","1.4","1.4","1.6","1.6","1.5","1.7","2","2.2","1.7","1.5","1.3","1.5","1.7","1.3","1.6","1.6","1.6","1.8","1.7","1.9","1.9","1.4","1.3","1.4","1.4","1.4","1.6","1.7","1.4","2","1.9","1.7","1.7","1.6","1.6","1.5","1.5","1.4","1.5","1.6",
"¿ï»ê","Æò±ÕÇ³¼Ó[m/s]","m/s","1.9","2.8","2.6","2.6","1.9","1.9","2.1","1.9","2.4","1.7","1.9","2","2.7","2.4","2.5","2.1","1.8","1.6","1.7","1.7","1.9","1.5","1.3","1.6","1.5","1.4","1.6","1.6","1.2","1.1","1.1","1.1","2","1.9","2.5","2.3","2.5","2.1","2.4","2.6","2.2","1.9","1.9","1.9","2.2","2.2","2.1","2.6","2.6","2.6","2.8","2.3","2","1.9","2.6","2.1","2.1","2.3","1.7","2.1","2.7","2.9","2.6","2.6","2.2","2.3","1.9","2.3","2.4","2","1.7","3","2.2","2.5","2.7","2.8","2.3","1.9","1.8","2","2.4","1.8","2.3","2","2.2","2.1","2.4","2.6","2.4","2.1","1.8","2.3","2.1","1.8","1.8","2.2","2.1","2.5","2.2","2.4","2.3","2.2","2","2.4","1.6","1.5","2","2.1","2.2","2.1","2.6","2.3","2.3","2.3","2.2","2.2","1.9","2","2.3","2.3","2.5","2.2","2.8","2.5","2.4","1.8","2.2","2.3","2","2.1","1.9","2.4","2.9","1.9","2.6","2.6","2.5","2.3","2.4","2.2","2.5","1.8","1.8","2.6","2.6","2.4","2.6","2.7","2.1","2.4","2","2.7","2.2","2.1","2","1.8","1.8","1.7","1.9","2.1","1.8","1.5","2.6","2.1","2.1","2.3","2.2","2.5","2.3","2.4","2.5","2.2","2.5","2.1","2.2","2.2","1.9","2.3","1.7","2.6","2.3","2.3","2.4","2.4","2.2","2.1","2.4","2.1","2.3","2","1.9","2.1","2.3","2.6","2.1","2.3","2.2","1.7","1.7","2.1","1.9","2","1.9","2.1","2.5","2.8","2.3","2.5","1.8","1.9","1.9","2.1","2","2.3","2.1","2.5","2.5","2.6","2.7","2.4","2.3","1.8","1.9","2.1","2","2","1.7","2.4","2.5","2.4","2.4","2.1","1.9","1.7","2.1","1.8","1.9","2.2","2","2.1","2.5","2.2","2.3","2.5","1.9","1.7","1.5","2.2","2.5","2.2","2.1","2.4","2.5","2.5","2.4","2.3","1.9","1.6","1.7","1.7","2.1","1.8","1.8","2.3","2.3","2.5","2.2","2.1","1.8","2.2","1.5","2","2.1","2","1.9","2.5",
